Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,16.12. Meteorites - Ureilites 16.12.3. Pierre Hudon (JSC) samples (b) RELAB spectra
Other Information,c1ph23
Date Added,2018-07-23 23:49:06.871228

Data ID,RLA_MET2_8_9        
Sample ID,GRA95205
Mineral Name,ureilite
Grain Size,<75 um
Viewing Geometry,30/0
Resolution,5 nm

Wavelength
305.0,0.04842
310.0,0.05021
315.0,0.05278
320.0,0.05535
325.0,0.05541
330.0,0.05684
335.0,0.05637
340.0,0.05726
345.0,0.05778
350.0,0.05791
355.0,0.05927
360.0,0.06013
365.0,0.06081
370.0,0.06207
375.0,0.06389
380.0,0.06578
385.0,0.06801
390.0,0.07051
395.0,0.07321
400.0,0.07479
405.0,0.07672
410.0,0.0788
415.0,0.081
420.0,0.08334
425.0,0.08592
430.0,0.08894
435.0,0.09176
440.0,0.09483
445.0,0.09721
450.0,0.09946
455.0,0.10123
460.0,0.10233
465.0,0.10362
470.0,0.10463
475.0,0.10573
480.0,0.10692
485.0,0.10855
490.0,0.11033
495.0,0.11219
500.0,0.11465
505.0,0.11667
510.0,0.11966
515.0,0.12175
520.0,0.12448
525.0,0.12702
530.0,0.12992
535.0,0.13254
540.0,0.1351
545.0,0.13755
550.0,0.13944
555.0,0.14138
560.0,0.14304
565.0,0.14462
570.0,0.14583
575.0,0.14715
580.0,0.1481
585.0,0.14865
590.0,0.14955
595.0,0.15021
600.0,0.15057
605.0,0.15071
610.0,0.15189
615.0,0.15213
620.0,0.15274
625.0,0.15267
630.0,0.15329
635.0,0.1537
640.0,0.15397
645.0,0.15384
650.0,0.15384
655.0,0.15399
660.0,0.15376
665.0,0.1542
670.0,0.15385
675.0,0.15382
680.0,0.15373
685.0,0.15376
690.0,0.15362
695.0,0.15333
700.0,0.1537
705.0,0.15325
710.0,0.15364
715.0,0.15333
720.0,0.15329
725.0,0.15356
730.0,0.1532
735.0,0.15327
740.0,0.15297
745.0,0.15307
750.0,0.15271
755.0,0.15299
760.0,0.15255
765.0,0.15228
770.0,0.152
775.0,0.15143
780.0,0.15123
785.0,0.15089
790.0,0.1506
795.0,0.15033
800.0,0.15021
805.0,0.14979
810.0,0.14919
815.0,0.14902
820.0,0.1484
825.0,0.14784
830.0,0.14736
835.0,0.14664
840.0,0.14624
845.0,0.14568
850.0,0.1453
855.0,0.14467
860.0,0.14415
865.0,0.14365
870.0,0.14326
875.0,0.14282
880.0,0.14251
885.0,0.14215
890.0,0.14184
895.0,0.14166
900.0,0.14147
905.0,0.14111
910.0,0.14098
915.0,0.14082
920.0,0.1406
925.0,0.14053
930.0,0.14058
935.0,0.14058
940.0,0.14059
945.0,0.14061
950.0,0.14057
955.0,0.14073
960.0,0.14095
965.0,0.14112
970.0,0.14131
975.0,0.14139
980.0,0.14143
985.0,0.14141
990.0,0.14153
995.0,0.14162
1000.0,0.14181
1005.0,0.14201
1010.0,0.14229
1015.0,0.14243
1020.0,0.14252
1025.0,0.14268
1030.0,0.14278
1035.0,0.14287
1040.0,0.14298
1045.0,0.14307
1050.0,0.14314
1055.0,0.14327
1060.0,0.14336
1065.0,0.14339
1070.0,0.14351
1075.0,0.14354
1080.0,0.14359
1085.0,0.14366
1090.0,0.14374
1095.0,0.14384
1100.0,0.14404
1105.0,0.14421
1110.0,0.14442
1115.0,0.14472
1120.0,0.14489
1125.0,0.14516
1130.0,0.14533
1135.0,0.14547
1140.0,0.14552
1145.0,0.14566
1150.0,0.14561
1155.0,0.1457
1160.0,0.14569
1165.0,0.14576
1170.0,0.14581
1175.0,0.14591
1180.0,0.14591
1185.0,0.14594
1190.0,0.14602
1195.0,0.14609
1200.0,0.14616
1205.0,0.1463
1210.0,0.14643
1215.0,0.14649
1220.0,0.14658
1225.0,0.1465
1230.0,0.14651
1235.0,0.14651
1240.0,0.14648
1245.0,0.14638
1250.0,0.1464
1255.0,0.14626
1260.0,0.14621
1265.0,0.14611
1270.0,0.14602
1275.0,0.14583
1280.0,0.14576
1285.0,0.14568
1290.0,0.1457
1295.0,0.14567
1300.0,0.14569
1305.0,0.14566
1310.0,0.14565
1315.0,0.14567
1320.0,0.14579
1325.0,0.14585
1330.0,0.14586
1335.0,0.14589
1340.0,0.14593
1345.0,0.14605
1350.0,0.14605
1355.0,0.14594
1360.0,0.146
1365.0,0.1458
1370.0,0.1459
1375.0,0.1455
1380.0,0.14555
1385.0,0.14569
1390.0,0.14617
1395.0,0.14615
1400.0,0.14647
1405.0,0.14671
1410.0,0.14681
1415.0,0.14665
1420.0,0.14637
1425.0,0.14634
1430.0,0.14631
1435.0,0.14628
1440.0,0.14637
1445.0,0.14646
1450.0,0.14673
1455.0,0.14671
1460.0,0.14667
1465.0,0.14652
1470.0,0.14649
1475.0,0.14638
1480.0,0.14646
1485.0,0.1465
1490.0,0.14667
1495.0,0.14682
1500.0,0.14692
1505.0,0.14692
1510.0,0.14691
1515.0,0.14685
1520.0,0.14671
1525.0,0.14668
1530.0,0.14672
1535.0,0.14672
1540.0,0.14677
1545.0,0.14683
1550.0,0.14678
1555.0,0.14674
1560.0,0.14671
1565.0,0.14669
1570.0,0.14667
1575.0,0.14662
1580.0,0.14654
1585.0,0.14658
1590.0,0.14649
1595.0,0.14648
1600.0,0.14649
1605.0,0.14651
1610.0,0.14646
1615.0,0.14649
1620.0,0.14645
1625.0,0.14626
1630.0,0.14613
