Database of Origin, USGS Spectral Database
Sample Description, See USGS database for additional info
Date Added,2016-08-10 05:24:40.619255

Data ID,USGS_pig01          
Sample ID, pigeonite_hs199.17843
Mineral Name, pigeonite
Material Class,Inosilicate

Wavelength
221.1, 0.0413170
229.1, 0.0462740
236.1, 0.0445570
242.1, 0.0438050
248.1, 0.0452880
253.6, 0.0455560
258.6, 0.0463910
263.6, 0.0464980
268.6, 0.0477850
273.1, 0.0486400
277.1, 0.0523940
281.1, 0.0528130
285.1, 0.0546410
289.1, 0.0557480
293.1, 0.0596020
297.1, 0.0619930
301.1, 0.0669970
305.1, 0.0715230
309.1, 0.0770460
313.1, 0.0799340
317.1, 0.0872080
321.1, 0.0892640
325.1, 0.0946080
329.1, 0.0976370
333.1, 0.101027
337.1, 0.103581
341.1, 0.107473
345.1, 0.107436
349.1, 0.109603
353.1, 0.113135
357.1, 0.115178
360.6, 0.117811
363.6, 0.118292
366.6, 0.120078
369.6, 0.120881
372.6, 0.123590
375.6, 0.125011
378.6, 0.124909
381.1, 0.127752
383.1, 0.127560
385.1, 0.128903
387.1, 0.130385
389.1, 0.132452
391.1, 0.133661
393.1, 0.133791
395.1, 0.134751
397.1, 0.133492
399.1, 0.135575
401.1, 0.137636
403.1, 0.136558
405.1, 0.140101
407.1, 0.138460
409.1, 0.139194
411.1, 0.139974
412.8, 0.140324
415.8, 0.142064
418.8, 0.141129
421.8, 0.144358
424.8, 0.143867
427.8, 0.143594
430.8, 0.145448
433.8, 0.146181
436.8, 0.147300
439.8, 0.148405
442.8, 0.150081
445.8, 0.148846
448.8, 0.150780
451.3, 0.150082
453.3, 0.150321
455.3, 0.153714
457.3, 0.154082
459.3, 0.152983
461.3, 0.156350
463.3, 0.153860
465.3, 0.156979
467.3, 0.157923
469.3, 0.156174
471.3, 0.156178
473.3, 0.157505
475.3, 0.155549
477.3, 0.157989
479.3, 0.156233
481.3, 0.156958
483.3, 0.160891
485.3, 0.158298
487.3, 0.161257
489.3, 0.160121
491.3, 0.161745
493.3, 0.162463
495.3, 0.159938
497.3, 0.162902
499.3, 0.162209
501.3, 0.161503
503.3, 0.164293
505.3, 0.161683
507.3, 0.162422
509.3, 0.161305
511.3, 0.163994
513.3, 0.165809
515.3, 0.165180
517.3, 0.166600
519.3, 0.163972
521.3, 0.165980
523.3, 0.168660
525.3, 0.167238
527.3, 0.169375
529.3, 0.167370
531.3, 0.167299
533.3, 0.169237
535.3, 0.169784
537.3, 0.171222
539.3, 0.169726
541.3, 0.171732
543.3, 0.170060
545.3, 0.170052
547.3, 0.171583
549.3, 0.170675
551.3, 0.171256
553.3, 0.171164
555.3, 0.172894
557.3, 0.170987
559.3, 0.171702
561.3, 0.170005
563.3, 0.174516
565.3, 0.172108
567.3, 0.174276
569.3, 0.173623
571.3, 0.174707
573.3, 0.176139
575.3, 0.173605
577.3, 0.175219
579.3, 0.173548
581.3, 0.173030
583.3, 0.177534
585.3, 0.176615
587.3, 0.173193
589.3, 0.176095
591.3, 0.177501
593.3, 0.176629
595.3, 0.173661
597.3, 0.177578
599.3, 0.175684
601.1, 0.174880
602.7, 0.176104
604.3, 0.175577
605.9, 0.176271
607.5, 0.176608
609.1, 0.177811
610.7, 0.176164
612.3, 0.176896
613.9, 0.176054
615.5, 0.178135
617.1, 0.175013
618.7, 0.177828
620.3, 0.179210
621.9, 0.175524
623.5, 0.176647
625.1, 0.179530
626.7, 0.177202
628.3, 0.177005
629.9, 0.176948
631.7, 0.178470
633.7, 0.178286
635.7, 0.177796
637.7, 0.179267
639.7, 0.178350
641.7, 0.177080
643.7, 0.175831
645.7, 0.180298
647.7, 0.177393
649.7, 0.177962
651.7, 0.177052
653.7, 0.179357
655.7, 0.178511
657.7, 0.177373
659.7, 0.179246
661.7, 0.178942
663.7, 0.177793
665.7, 0.178641
667.7, 0.179802
670.2, 0.178487
673.2, 0.179276
676.2, 0.179829
679.2, 0.179812
682.2, 0.180623
685.2, 0.179853
688.2, 0.180276
691.2, 0.181000
694.2, 0.180004
697.2, 0.181538
700.2, 0.183409
702.0, 0.183196
704.0, 0.182676
706.0, 0.182374
708.0, 0.181446
710.0, 0.181745
712.0, 0.181642
714.0, 0.182055
716.0, 0.183190
718.0, 0.183986
720.0, 0.184698
722.0, 0.183028
724.0, 0.183441
726.0, 0.183511
728.0, 0.184904
730.0, 0.183072
732.0, 0.184701
734.0, 0.182180
736.0, 0.185994
738.0, 0.186437
740.0, 0.183127
742.0, 0.183792
744.0, 0.185233
746.0, 0.186424
748.0, 0.185552
750.5, 0.185391
753.5, 0.185281
756.5, 0.185583
759.5, 0.184782
762.5, 0.184501
765.5, 0.184081
768.5, 0.187947
771.5, 0.184323
774.5, 0.185978
777.5, 0.185518
781.0, 0.183993
785.0, 0.186326
789.0, 0.184652
793.0, 0.185580
797.0, 0.184411
801.5, 0.183175
806.5, 0.184469
811.5, 0.183912
816.5, 0.182263
822.0, 0.180918
828.0, 0.179894
835.0, 0.176178
851.0, 0.171975
859.0, 0.174073
871.0, 0.173310
883.0, 0.167971
894.0, 0.165944
904.0, 0.163066
914.0, 0.160929
924.0, 0.162061
933.0, 0.156285
941.0, 0.158442
949.0, 0.155599
957.0, 0.154798
964.0, 0.158281
970.0, 0.154667
976.0, 0.154377
982.0, 0.154384
988.0, 0.155564
994.0, 0.154103
1000.0, 0.152978
1006.0, 0.154258
1012.0, 0.152877
1018.0, 0.152976
1023.5, 0.156354
1028.5, 0.155117
1033.5, 0.157206
1038.5, 0.153461
1043.5, 0.157347
1048.5, 0.157652
1053.5, 0.155440
1058.5, 0.159110
1063.5, 0.158845
1068.5, 0.158094
1073.5, 0.158666
1078.5, 0.159907
1083.5, 0.157460
1088.5, 0.160941
1093.5, 0.162407
1098.5, 0.162947
1103.5, 0.166158
1108.5, 0.162555
1113.5, 0.165415
1118.5, 0.167979
1123.5, 0.165647
1128.5, 0.168482
1133.5, 0.168449
1138.5, 0.168860
1143.5, 0.169409
1148.5, 0.168443
1153.5, 0.173041
1158.5, 0.172166
1163.5, 0.171342
1168.5, 0.172860
1173.5, 0.172937
1178.5, 0.174014
1183.5, 0.174687
1188.5, 0.174274
1193.5, 0.173466
1198.5, 0.175587
1203.5, 0.175044
1208.5, 0.177689
1213.5, 0.176854
1218.5, 0.176804
1223.5, 0.178245
1228.5, 0.178851
1233.5, 0.178256
1238.5, 0.180209
1243.5, 0.180669
1248.5, 0.179933
1253.5, 0.181008
1258.5, 0.180295
1263.5, 0.183076
1268.5, 0.182017
1273.5, 0.185377
1278.5, 0.184688
1283.5, 0.184701
1288.5, 0.184369
1293.5, 0.184462
1298.5, 0.186607
1303.5, 0.187073
1308.5, 0.188592
1313.5, 0.188091
1318.5, 0.188943
1323.5, 0.189957
1328.5, 0.189349
